video_name,score
6416687735,3.36
7396603710,3.64
11086166076,3.28
8933125503,2.4
7198246948,3.42
4801560427,3.44
4297792287,3.78
4734666961,2.82
4897814885,2.46
7175971942,2.32
10411421606,2.52
3744752110,2.48
9830655414,3.56
6867926575,3.08
5618829039,3.16
5512609909,3.3
6867937233,2.72
3861648412,2.68
8215074237,2.7
6060761361,3.06
5134417428,2.26
3617102785,3.08
6985991227,1.62
10124821225,3.4
5541058845,3.38
9086621277,3.28
8527434285,2.02
3763235915,2.3439
8002170390,2.76
5222599467,2.6
4465669054,2.92
8193379879,3.26
4836718842,2.64
6722692103,3.5
5880475570,2.6957
9725289895,3.58
8738388681,3.8
10408715786,3.2537
6062892973,2.86
6223028206,1.68
8616015387,3.54
7005478889,2.86
6879288904,2.78
5052341075,3.48
6760172457,3.24
6343817087,2.64
3770747002,1.86
12031712185,2.58
7453163014,3.02
8643275693,3.22
6096480589,2.4
8299847304,2.96
6783810490,1.88
7550224002,2.34
4095112467,2.4
4942462682,3.5
6275674780,1.82
3664548641,3.1216
4227960041,3.66
5900513019,3.2317
8281263977,3.14
3546788918,3.64
4299787720,2.8498
4491961485,3.08
4773686738,2.32
7819697028,2.56
6381011947,3.26
3747645672,3.82
3374751086,2.24
5526460224,3.38
10340094005,3.32
4020832533,2.9486
6268574586,1.8
8235549337,2.66
8072548302,3.02
5004709068,2.52
10609570083,3.1
12788630734,3.26
8931854960,3.7
4673672619,3.7
8976267501,3.0
8396734122,2.84
6867862287,3.68
7117529219,2.86
8007634384,2.98
4771991539,3.0
11971608074,3.34
7664727482,3.4
10314276135,3.22
4945025836,3.32
11920895013,3.42
7541374876,3.38
5947649803,3.42
7897815844,2.96
5590704113,3.12
5644303578,2.54
8562619627,4.26
6971905222,2.6
3627681183,3.44
5589046662,3.1345
5218123691,3.04
5845660280,3.5
7849542524,3.7
9521557660,3.6
5203755303,2.68
8483400755,1.46
12965735905,3.18
3369925072,4.02
5028474013,3.52
4729578673,3.28
11535683914,3.94
5805360253,2.58
7820483368,2.76
8380926104,3.4
7141804343,2.9
11359714186,2.4
10864372176,3.14
7548305462,2.24
6864942042,2.72
5914119796,2.44
6625655725,3.62
5669052182,3.8798
7495255120,2.42
9542585542,3.82
9724431856,3.84
8643336872,1.68
9717753449,2.36
9740517228,3.8
8773297527,3.72
7361913318,2.74
8495275628,3.48
3590551873,2.7
5273433233,3.48
4801224837,3.46
4363644898,3.7
4850105788,3.06
4375496636,3.6
5218188823,3.0
5147152978,2.5976
7616950966,2.66
10694139655,1.82
3431305644,3.06
5130906896,3.38
6416725133,3.76
9633321480,4.08
5346134105,2.46
4761429801,3.08
8420230247,3.96
11618284403,4.12
6024650797,2.54
4931493432,3.36
8017059368,1.9072
5912268467,3.34
7526781566,3.02
5310216885,2.24
5363205423,3.36
5392736832,2.42
8278672659,2.18
6294328198,2.52
8440795977,2.28
5319413177,2.48
8937776831,3.9
9737640625,3.36
5596033251,3.66
4820762619,2.16
5956265529,2.04
12893918213,3.5992
6849945228,2.918
12952440214,2.5
8229018279,3.56
8479364057,2.74
7644822866,3.78
3357588876,2.96
8487362151,3.54
5688399126,3.78
3860380907,3.6
5424989067,2.4
5010279097,3.2689
5206708965,3.28
6279406877,3.5
6340146486,2.48
6027407703,3.68
7054450817,3.46
4573734018,3.3
5111411754,2.68
3425371223,3.12
5391431291,4.1519
3591184129,2.58
10931366544,3.64
5850199057,2.4
10657154643,3.58
3699539878,3.14
13276560083,3.2
6281135899,3.0
5066571585,3.2
5044148124,2.18
9209826160,3.34
8078127133,2.6189
8039435442,3.1
9000209228,2.1
4202404174,3.14
6370967061,2.2
4905336825,1.8281
4337949901,3.34
10804894696,3.12
5559135240,2.94
8552723245,3.58
7146539585,3.4
3934294391,2.26
8031519344,3.3
4177089041,1.66
4313579496,3.76
5678628993,3.5672
8955950667,3.66
5993312864,1.72
12989512873,3.24
8433382995,2.22
9060241382,4.04
5487345956,3.92
6971497024,3.02
6373417661,3.72
5987864177,3.14
4557456762,3.24
6490001399,3.36
5260933475,3.08
6178882861,2.76
7983610133,3.74
8758952624,4.3
6772996477,3.72
6346933640,2.6
5134310379,2.12
12186470506,2.9
8339870239,1.9921
5280283886,3.86
5223525504,3.08
6798366426,3.84
5311187352,2.88
4712606231,3.7
5737374844,3.0
5490599661,2.88
5693366090,3.62
9617144245,3.82
7517202292,2.38
7558781186,1.68
11646665363,3.7
6868748154,3.26
8195185860,3.64
10115791113,3.68
6913535960,4.1063
8172276744,3.92
5564209652,2.46
7585780552,3.52
8254380270,3.16
5995204968,3.28
7390590300,2.28
10149337843,3.94
4159445902,2.52
5625415555,2.08
6111574885,2.74
5214650735,3.18
5318369391,3.3
8915047035,3.68
12816380173,3.28
9766188655,3.06
13154058393,3.64
5974403907,3.1
3781419322,2.8979
4763574191,3.4692
7171297739,2.06
8240363350,3.22
9814654176,1.94
7381539666,2.86
12836715003,3.3
3819966572,3.72
4981160522,3.26
10128248563,2.86
5477809421,4.04
4744073127,1.42
3810054574,3.38
8281880253,2.4
6669111911,3.2
8182593817,2.8
4627984833,1.7
4867899444,3.08
7708735292,2.46
8957212602,3.56
8582023917,2.04
6106291030,3.6
8298917863,3.28
4383007820,3.06
5858312093,2.4
8751538577,4.4
5636445745,2.52
4735334918,2.28
6982428911,2.7
10238939436,2.58
6971190423,3.82
7518773518,4.32
7651248048,2.08
4959664675,2.06
8459254855,2.74
10249998364,3.4
6571028091,3.16
6907839104,3.5
12382276334,3.5869
6100104774,3.16
6095633507,3.48
6471207533,3.32
10053703034,3.46
5583994811,3.5292
5790468384,2.36
6439107119,3.08
6946901845,3.46
5641862023,3.36
6554989029,2.68
4779773181,4.14
12465909365,3.88
8728910927,2.78
8604343265,2.54
6844033217,3.72
12143576166,3.44
7556474634,2.94
9390723258,3.8
6280406572,2.62
11057110163,2.78
8387302863,3.3
10404182556,2.32
5204063512,2.94
8731237129,2.48
3516162818,3.6
8675766145,2.5
5893880541,2.7
3339962845,4.64
8098521993,2.86
6008700446,2.0
5469530975,2.9
11902527296,3.24
5149271412,2.82
4472730048,1.6224
7935377214,3.58
6123040072,2.22
7177696763,4.06
4005506137,2.24
6929069239,2.58
3722785424,3.5714
4417558772,3.9
7068941889,2.8
7917797604,2.1057
11925275803,2.66
6021943274,3.14
10595581344,4.14
4932309592,2.94
7734563104,2.7
9525693928,3.86
7556185878,2.82
4901210888,2.82
5869559051,2.3
6104508040,3.08
12623549414,3.68
13286356624,3.6
6249802707,3.58
5561000398,2.88
5493602442,2.5
5048882871,1.84
6181812275,3.06
8236900278,3.36
3489123822,3.8
6210062524,2.78
5579073175,3.32
8331282929,3.76
8610122536,3.58
3718963712,3.66
6021794037,3.02
5023426388,3.32
7360639566,3.54
8589300397,3.6
6794539977,3.4
6629527951,2.255
5831253770,3.84
8632107216,2.32
6296962313,2.64
6059351914,2.24
9382662040,2.76
4987165854,3.24
8688311915,2.98
4652600104,3.16
6408210773,2.92
9434801897,3.34
8056761129,3.12
4289215378,3.4
8230249635,2.66
4477789338,2.72
5093919014,2.26
6724048499,2.56
8646141367,3.8
8147563408,3.58
9524637688,2.58
10837320963,3.7
5169144673,2.98
3459287580,3.5
8195899669,2.06
8918155991,3.46
3863745355,4.02
8717841410,3.22
5972627544,3.04
9726323401,3.272
9455400456,2.22
4736973814,3.46
8320880668,2.22
4549036485,3.9925
6621826551,3.42
6694501209,2.92
5882410880,3.52
7287123594,3.48
8664958871,3.52
5831807090,3.68
8507613491,2.28
6291796040,3.3
4879585643,1.84
9258419063,3.74
8078333220,2.6
5893119747,4.12
8069868772,3.32
12032110574,2.64
8476574247,3.58
5467704373,3.16
7246583832,2.86
7722155622,2.36
6914710581,4.0
8592011515,2.0
5433352304,2.22
6323632937,1.82
6838572151,2.6
8097209231,3.4
5769119862,3.36
6696625151,3.1
6694553789,3.62
12412571563,3.5
5562932712,3.9
8965205906,3.6
8953002659,3.9
3583315023,2.84
5622498540,3.0
8324243833,2.16
4975471705,3.78
13255378043,3.12
6527804569,3.12
8110008288,2.02
9189459433,2.22
6300501644,3.4
13196703974,3.48
5879908897,3.22
5012335397,2.74
5668795950,2.86
8663100289,2.0349
8494495600,3.74
12020933633,3.36
10838546955,3.0
9256674744,2.26
5115193359,3.08
6320892865,2.84
8646170532,3.48
9298912586,2.5
10417424703,1.88
4914377539,2.2
3337642103,3.3086
11061444876,2.16
6538025379,3.8
10406095776,2.62
5079146602,3.5
6648629457,3.42
8140107150,2.4
4367069947,2.88
5026138416,3.22
6792594754,3.4
13042523904,3.12
5208145791,2.24
6313200205,3.78
6109922367,3.14
5329960963,3.04
4933934170,1.96
6215542986,2.58
6812062788,2.52
7547384258,2.44
5338017301,3.8
8304230962,2.32
3715429501,2.9
8886176135,3.56
7136906983,2.4
8842319020,2.86
9494995600,2.74
7681404078,2.98
5806274886,2.24
10602272313,3.1
6809728071,3.52
9513714022,3.8
6868246166,2.68
9680817388,3.84
5609569195,2.82
6932519097,3.12
6661657005,1.9
5067647428,3.6
6079875162,1.6
9571377943,4.28
11673027224,3.32
8403451337,2.78
8657921837,4.3
8414555471,3.9
11367153336,2.7
8701032421,4.02
12088104156,3.6
5941894437,2.48
3860907449,3.54
3647017501,3.56
6135877141,2.82
6250048696,3.08
9709640314,4.02
4843048363,3.2
3588022983,3.66
5690367902,3.56
3699089579,3.38
6293871635,3.68
12378508014,4.0356
9095814754,3.8
8909265380,2.78
6300963347,3.58
7962972726,2.18
8156543755,3.14
7760313026,3.36
10244479353,4.14
8013211059,2.48
9536307250,3.16
3482706595,3.2
8336226077,2.08
6137257339,4.02
4775312025,2.08
11435365925,2.6
5003283158,2.78
5564650233,3.4843
9459232387,3.04
6340576433,3.46
9363436148,3.58
8510251919,3.66
8667534666,4.02
5901642116,2.74
6333567508,3.18
8730797431,3.7
6346026937,2.14
4800261002,3.98
5011231037,3.622
10533906564,3.24
4211514567,2.74
4265466447,3.32
8588854353,3.88
4809572333,3.12
8591330227,2.36
4323977167,3.26
6131895268,1.94
9802042845,3.66
8084631711,3.48
5319047612,1.3469
5542380796,1.72
6338210961,3.08
8217524401,2.58
12682619933,3.24
7986004475,3.58
5127033299,3.28
6787309364,4.16
7545358086,2.02
8479579728,2.28
9480678073,4.04
4980230630,3.72
11635304003,1.74
8286421427,4.14
5029525594,3.6
7341359052,3.16
6469679863,2.4
4391946048,3.3
10625504535,2.1
8586743266,2.72
5418971855,2.68
9478631712,3.7063
5756899543,3.7
13036222674,3.56
4397381332,3.56
8635322862,2.36
4495254692,3.9
4642004278,2.56
4506003922,2.36
9969637164,3.42
7879889838,2.76
8480588816,3.74
7287459080,2.32
6047579133,3.12
6598948831,3.7
8563986596,2.94
8484812859,3.38
10270536464,3.42
5479646341,3.02
8124951690,3.06
3611217365,3.6
10838934973,3.34
9047671138,1.98
5176278265,3.12
6096558457,2.6
7425861358,3.46
5143368697,3.1
6865667129,3.3
8129160337,3.12
7123482247,3.2581
7734422826,2.82
12255205254,3.96
5014400375,2.28
8435518163,3.16
5043852749,1.84
8541047953,3.28
3496871384,2.08
8118947664,3.76
4876943348,3.06
8986658663,3.2
4956521693,2.8
8699104416,2.48
3263720175,3.04
7992241767,3.64
9089204842,3.02
7197025396,3.92
6079632868,3.3
3930579113,2.86
8322973249,3.3
6959318659,3.04
8366966088,2.84
5215773911,3.54
7700672030,3.3
4834450895,1.74
6149591212,2.14
5819852885,2.16
5653702857,2.86
12330492194,3.26
8171831850,4.444
5570426341,1.56
4889669313,2.52
12099271596,2.4
8477990214,2.1
8625682550,1.84
10127250986,2.3
8554748075,2.0891
11688667226,1.94
4713503488,3.88
5770178686,3.78
8717647202,3.64
12277706754,3.5
5115335471,2.16
6120978816,2.04
5266882983,2.3
7313643370,3.68
10521676086,2.88
6900620920,4.04
3407992311,4.08
9098899158,3.02
9248029519,2.7
4871910775,2.48
10785115855,2.46
5875944717,3.92
11465976586,3.94
4979493912,3.14
6740483069,2.2422
11082897705,3.3
4526948676,3.34
3469529939,2.8
5119193300,2.46
7548330816,3.04
5632758635,3.64
3963620197,4.02
6894958520,3.24
7892371292,3.48
5459565205,3.52
10178280003,1.7
5154464760,3.86
9513903384,4.04
5633788395,3.04
8223463984,2.94
6184163826,1.52
5322533709,2.76
4545845826,3.9
8522230898,3.34
9277742312,3.4
9765162404,2.08
3321308714,3.04
